Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
5,6,1,2,8.25,0.25,-0.25,-5,17.25
5,0,3,1,10.75,4.75,-1,-7.25,16.25
5,3,2,0,8,1.75,-1.25,-7,11.5
0,3,1,0.5,2.75,0,-1.25,-6.5,-0.5
5,3,0,2,10,0,-1,-6.5,12.5
5,3,1,1.5,9.25,1,-1.25,-7.5,12
5,3,2,1,7,0.25,-1,-7.25,10
5,3,2,0.5,8,0.75,-3.25,-14.75,1.25
0,0,3,1,7.25,0.75,-2,-9.25,0.75
5,3,0,1,4,4.5,0,-2.5,15
0,3,1,0.5,7,0.25,-0.5,-4.75,6.5
0,6,1,0.5,8,0.25,-1.25,-7,7.5
5,3,0,1,6.75,2,-0.25,-4.25,13.25
5,3,0,1,3.5,0,-0.75,-3.25,8.5
5,6,1,0.5,9.25,4.75,0,-3,23.5
0,0,1,0.5,3.5,0.25,-1,-6.25,-2
5,0,1,0,6,0,-0.5,-3.25,8.25
5,0,2,2,8.25,0.75,-0.75,-5,12.25
5,3,2,2.5,9.25,4.75,-2.25,-10.75,13.5
5,3,1,1.5,7.5,8.75,-1.25,-7.25,18.25
5,0,1,1,7.75,0.5,-1.25,-7.5,6.5
0,0,2,0.5,6,0.75,-1.25,-6.5,1.5
5,3,1,3.5,15,9.25,-2.5,-13.5,20.75
5,9,0,2,12.25,0,-1.25,-8.75,18.25
5,3,2,3,11.5,2.5,-1.5,-8.75,16.75
0,6,1,0.5,10.25,0,-2,-11.25,4.5
0,3,2,1,7.25,1.5,-0.75,-5.25,8.75
5,3,0,1.5,4.75,4.5,-0.75,-4.75,13.25
0,6,2,1.5,10.5,1.25,-1.75,-9.5,10
