Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
50,100,50,20,49,1,-7,-20,243
50,25,40,10,70,19,-9,-29,176
50,50,40,0,54,7,-10,-28,163
0,25,20,5,19,0,-10,-26,33
50,50,20,20,63,0,-10,-26,167
50,75,40,15,56,4,-12,-30,198
50,50,40,10,45,1,-11,-29,156
50,50,40,5,52,3,-24,-59,117
0,0,30,10,44,3,-14,-37,36
50,50,20,10,26,18,-3,-10,161
0,25,20,5,47,1,-7,-19,72
0,50,30,5,52,1,-10,-28,100
50,50,20,10,40,8,-7,-17,154
50,50,20,10,24,0,-5,-13,136
50,75,40,5,60,19,-5,-12,232
0,0,10,5,24,1,-11,-25,4
50,25,20,0,38,0,-4,-13,116
50,50,40,20,52,3,-8,-20,187
50,50,40,25,63,19,-16,-43,188
50,50,30,15,50,35,-13,-29,188
50,25,20,10,48,2,-12,-30,113
0,0,20,5,40,3,-9,-26,33
50,75,40,35,92,37,-21,-54,254
50,100,40,20,81,0,-13,-35,243
50,50,40,30,77,10,-12,-35,210
0,50,30,5,68,0,-18,-45,90
0,25,30,10,49,6,-9,-21,90
50,50,20,15,30,18,-8,-19,156
0,50,40,15,69,5,-14,-38,127
